mlat_n,tec_n,mlat_s,tec_s,mlt,asy
8.5,74.18314520725806,-0.5,,13.125,
8.5,74.43250263937374,-0.5,,13.375,
2.5,,-0.5,,13.625,
4.5,,-0.5,,13.875,
4.5,,-0.5,,14.125,
5.5,76.83374964160528,-1.5,,14.375,
5.5,77.29054217220023,-13.5,73.14522343855448,14.625,5.511081379904781
7.5,77.41062524847939,-12.5,74.10046376202882,14.875,4.3695303202803695
7.5,77.4478177041811,-12.5,74.34454411281753,15.125,4.088840247580957
7.5,76.74706087408025,-11.5,73.96489519590321,15.375,3.6920304808267925
8.5,75.99535569372107,-11.5,73.16964115861643,15.625,3.788709945003907
9.5,75.3369124947805,-11.5,71.7792211429809,15.875,4.836575382764716
9.5,74.18242209566237,-12.5,72.35700840821424,16.125,2.491361787297028
10.5,73.16128042115336,-12.5,72.4660582588187,16.375,0.9547962197708854
10.5,72.34423042409296,-13.5,72.58476167749136,16.625,-0.33192979528872646
11.5,72.49148790109125,-13.5,73.2992823353904,16.875,-1.1081557947582852
11.5,71.58513523569741,-13.5,73.67046214558324,17.125,-2.8712517073088377
11.5,70.07871282545808,-13.5,72.72604808801565,17.375,-3.7076288572222014
11.5,68.15156578629531,-13.5,72.42532712470218,17.625,-6.080318393596434
12.5,66.95123136210124,-13.5,72.02687455217146,17.875,-7.304234226937997
12.5,65.47786204800254,-13.5,70.78052169453345,18.125,-7.783241663207214
12.5,63.29197156346678,-13.5,68.74344927982682,18.375,-8.257598879970447
13.5,60.446351891813606,-14.5,67.24660427097464,18.625,-10.650943612726445
13.5,57.753430309237295,-14.5,66.04156343274236,18.875,-13.390094175826938
13.5,56.2820818261281,-14.5,65.75166193597785,19.125,-15.519609278413787
14.5,57.50440347051563,-15.5,66.83206614264485,19.375,-15.003904648651726
14.5,60.031472336686285,-15.5,69.20197599250356,19.625,-14.192151914816534
14.5,63.13399672017991,-15.5,70.18722535451954,19.875,-10.580804052917744
14.5,65.38207839101561,-15.5,69.22126815353494,20.125,-5.70444919992928
14.5,65.14715691309203,-15.5,67.58647590615047,20.375,-3.675510028992148
14.5,64.89385562251161,-14.5,66.30554841622872,20.625,-2.151980497259372
13.5,62.10758976210241,-14.5,65.5248040199848,20.875,-5.354775784769442
13.5,59.55950630867446,-14.5,63.15507088441983,21.125,-5.860044760758398
13.5,56.09328201636334,-14.5,60.130473090925605,21.375,-6.947273508475848
12.5,52.71550939435053,-14.5,56.947035584610134,21.625,-7.717359087501464
12.5,50.69894764451574,-13.5,54.382260973435386,21.875,-7.010412950827863
11.5,49.55920452836752,-13.5,52.31694339124993,22.125,-5.41390486232032
11.5,48.13242082187827,-13.5,49.51635014084798,22.375,-2.8345043267323375
10.5,47.03583102667188,-13.5,46.90991150103297,22.625,0.26806861546018923
10.5,45.17333547796332,-13.5,45.454164485552695,22.875,-0.6197434723509502
10.5,42.89077308947685,-13.5,44.1913465313463,23.125,-2.987004559678751
10.5,40.13156506641619,-13.5,42.15909430407705,23.375,-4.927726313462669
10.5,37.068546330456186,-12.5,40.21262316662481,23.625,-8.136721679108073
10.5,33.90262279553373,-12.5,37.864748432858185,23.875,-11.041579396061248
