mlat_n,tec_n,mlat_s,tec_s,mlt,asy,mlat_eq
16.5,14.900630606480508,-8.5,14.41626245371795,13.125,3.3043621080035357,0.5723618434859002
17.5,15.21061302274568,-9.5,14.535649890040737,13.375,4.538137343059719,0.5434227188590997
17.5,15.592012235259316,-9.5,14.824035976686806,13.625,5.049809582238115,0.7142840671387216
17.5,15.959238783530198,-8.5,14.709480004644739,13.875,8.150055354561037,1.2386519803653582
17.5,16.315901927618437,-9.5,14.681878545643027,14.125,10.54284117783795,2.1123259793850884
17.5,16.47428509829913,-9.5,14.628643406136993,14.375,11.867960869979811,3.025838712933208
17.5,16.764106492389192,-7.5,14.471371437708688,14.625,14.680326389187538,3.855397576526386
17.5,17.129287414701835,-8.5,14.19562093206239,14.875,18.730567062888053,4.570410790109431
17.5,17.167935108251882,-9.5,14.31255505219725,15.125,18.1406327633489,5.236964818519586
17.5,17.296941659122663,-8.5,14.157308426231426,15.375,19.963173335059935,5.881981324232638
17.5,17.48752260811517,-7.5,13.93432731104427,15.625,22.61607961474187,6.533850921648213
16.5,17.698363265134784,-0.5,,15.875,,7.137549336326987
16.5,17.751049174187443,-0.5,,16.125,,7.741553565791932
16.5,17.719944829083694,-0.5,,16.375,,8.311662361945572
17.5,17.67296672367071,-0.5,,16.625,,8.84191065345195
17.5,17.6090695609794,-0.5,,16.875,,9.326701131932595
17.5,17.410960941096352,-0.5,,17.125,,9.778679404546617
18.5,16.985172957942602,-0.5,,17.375,,10.217701523657137
18.5,16.574170196697157,-0.5,,17.625,,10.600595848535656
18.5,16.05963852629546,-0.5,,17.875,,10.98165830089582
19.5,15.486770530292432,-0.5,,18.125,,11.298986432593821
18.5,14.730579469278952,-0.5,,18.375,,11.61792688297497
18.5,13.870511124919611,-0.5,,18.625,,11.966007060267476
25.5,13.080258831068935,-0.5,,18.875,,12.29757547107173
25.5,12.378565331181093,-0.5,,19.125,,12.589556159193231
26.5,11.428769002766831,-0.5,,19.375,,12.822206240273658
27.5,10.434103499691545,-6.5,4.3213619916053005,19.625,82.85392977526459,13.072633630065148
39.5,9.918183539831436,-17.5,3.9365599576543597,19.875,86.34766256426983,13.17965987787472
39.5,9.453788875444927,-17.5,3.723297850228391,20.125,86.9766002837584,13.336539040963837
39.5,8.945959214967534,-17.5,3.5409992546134115,20.375,86.56967945430365,13.45351763497128
39.5,8.331330487121953,-17.5,3.359207918263363,20.625,85.06233667678046,13.586967333500924
39.5,7.694843590555511,-17.5,3.1766496680032854,20.875,83.12002436271003,13.722417652499509
39.5,7.253593902658525,-16.5,3.0528684066858447,21.125,81.51634129907185,13.858297396537939
39.5,6.87853741588133,-17.5,2.9168634229612143,21.375,80.88845077601214,13.943966730257053
39.5,6.463570624356869,-17.5,2.8061403944380308,21.625,78.91141854375346,13.991510501707426
39.5,6.048386178809081,-35.5,2.821915405501747,21.875,72.74771308822443,14.042000045902402
39.5,5.745625994265861,-35.5,2.838874090873333,22.125,67.72093597912514,14.019331758864029
39.5,5.54838351452234,-35.5,2.8203263743133244,22.375,65.19659962997162,14.005880673373266
39.5,5.274221637602546,-35.5,2.8298460938495964,22.625,60.32465731415967,14.039545888152972
39.5,4.979896499891892,-35.5,2.8407437003790923,22.875,54.70531170680064,14.049520507649229
39.5,4.838061249862482,-36.5,2.8092930017144493,23.125,53.05804285788614,13.94345563759093
39.5,4.794589232994774,-36.5,2.7437922527471046,23.375,54.409477263164625,13.931390796771252
39.5,4.620194357331373,-35.5,2.7737580051958672,23.625,49.94450225276802,13.812961104629057
39.5,4.473054943611867,-36.5,2.682823531196459,23.875,50.03526593465131,13.61855923593593
,,,,,,13.348640721828763
,,,,,,13.074756397922034
,,,,,,12.76060128023089
,,,,,,12.465472217920686
,,,,,,12.135377168937971
,,,,,,11.788180173679159
,,,,,,11.311650772154731
,,,,,,10.751406740705434
,,,,,,10.040840275389069
,,,,,,9.152032592700518
,,,,,,8.0927705284818
,,,,,,7.008241429703407
,,,,,,6.037119962217414
,,,,,,5.074808310118415
,,,,,,4.3511059166554364
,,,,,,3.77429343500593
,,,,,,3.3771538492814672
,,,,,,3.052499231554253
,,,,,,2.7821405737099747
,,,,,,2.5898968812570144
,,,,,,2.458578171146696
,,,,,,2.3817224175210443
,,,,,,2.248110245263405
,,,,,,1.9754155342227366
,,,,,,1.7747833620269442
,,,,,,1.6227081687111533
,,,,,,1.5458295550663304
,,,,,,1.44286510797504
,,,,,,1.3693095475849635
,,,,,,1.2455600257012422
,,,,,,1.1149963513034913
,,,,,,1.0536479342861087
