mlat_n,tec_n,mlat_s,tec_s,mlt,asy,mlat_eq
11.5,25.86013566330782,-13.5,28.62182570255293,13.125,-10.137997862080011,1.0128787179463523
11.5,26.956864707117806,-13.5,29.61247256141256,13.375,-9.388859698634207,1.077810660493741
11.5,27.97563816052703,-13.5,29.91148393779117,13.625,-6.688346931382114,1.1826762861059619
11.5,28.807478062570866,-13.5,30.24392349602199,13.875,-4.865068044238821,1.3955762310056756
11.5,29.225312998643187,-13.5,30.7495673845296,14.125,-5.082975993109519,2.0672314867437596
10.5,29.537359794636238,-13.5,30.830436932249654,14.375,-4.283996460773665,2.9935344013674534
11.5,29.955004516589625,-13.5,30.729597149049248,14.625,-2.5528473820343662,3.863873137995069
11.5,30.190040705585247,-13.5,30.785278502468117,14.875,-1.9523892768871423,4.692450071273305
11.5,30.40556697173251,-13.5,30.934926674432194,15.125,-1.7259714463767797,5.490706997201609
11.5,30.332574254348593,-13.5,31.028885995865327,15.375,-2.2695409746684,6.391194789458416
10.5,29.878192707543093,-13.5,30.721229108630983,15.625,-2.782324899551705,7.191055161062179
10.5,29.23605432287614,-13.5,30.062507677295592,15.875,-2.787431352608717,8.096202739289502
10.5,28.474877131141383,-13.5,29.403894150235065,16.125,-3.2102167980632634,8.899254704392236
10.5,27.78509788382264,-12.5,28.596977158462,16.375,-2.879919811502069,9.86105506940234
10.5,26.8320602307159,-12.5,27.921784653270628,16.625,-3.9804489524476536,10.84609295383605
10.5,25.736928870918923,-11.5,27.319006960589174,16.875,-5.963811833211352,11.814386722502668
10.5,24.635536767901584,-11.5,26.3731213863655,17.125,-6.812900716615148,12.722308949467132
10.5,23.570858561500152,-11.5,25.802560286167417,17.375,-9.040093948335892,13.735855598947618
9.5,22.44749243562811,-11.5,24.704124494734028,17.625,-9.571811980228464,14.746737689970118
9.5,21.431975042665574,-11.5,23.67027757070238,17.875,-9.925457813490182,15.547097293004718
9.5,20.087244573617358,-11.5,22.784364176459547,18.125,-12.582311144726294,16.175496563005964
9.5,18.68672437311627,-11.5,20.768805970569137,18.375,-10.55406722107888,16.622365573319193
9.5,17.51743077885272,-11.5,19.232335456092695,18.625,-9.332873935994016,17.222629845570392
9.5,16.286267847949016,-11.5,18.081114398017423,18.875,-10.445058266135824,17.719465173573138
9.5,15.020726003897817,-10.5,16.926904985920178,19.125,-11.933147610412037,18.26900143710875
9.5,14.115055822624253,-10.5,15.78380658634993,19.375,-11.16263716591973,18.778336916010872
9.5,13.209668543355994,-11.5,14.9946176297492,19.625,-12.65728957249968,19.346979880990112
9.5,12.211069249843717,-11.5,14.004819148552844,19.875,-13.684448693478856,19.951250074609433
9.5,11.210900996774287,-11.5,13.448956679131985,20.125,-18.15140794218268,20.592000749542365
9.5,10.453317376657418,-10.5,12.577491722227391,20.375,-18.44637187039016,21.198783861215155
9.5,9.624244354939268,-10.5,11.22466659609951,20.625,-15.35257400176581,21.890774854448082
8.5,8.953204801133959,-10.5,10.30508713265272,20.875,-14.039483212392508,22.510090601581805
8.5,8.433080198028287,-10.5,9.710289493725957,21.125,-14.079074806904618,23.198020214641097
7.5,7.958016933072801,-9.5,8.812932687414863,21.375,-10.195197930803905,23.661948799978987
7.5,7.7216570664111295,-7.5,7.826257104113222,21.625,-1.3455185892445014,24.03216152721324
7.5,7.661026019285922,-6.5,7.469173132016846,21.875,2.536025935290569,24.33384781419271
6.5,7.657529970234853,-6.5,7.137861008771806,22.125,7.024741180552921,24.412423618286418
6.5,7.646083360087477,-6.5,6.828375728075675,22.375,11.2986278386113,24.486396787911815
5.5,7.614807919432311,-0.5,,22.625,,24.34242735284515
5.5,7.572331321758671,-0.5,,22.875,,24.242234119422054
5.5,7.6228617116350605,-0.5,,23.125,,23.994913870058877
4.5,,-0.5,,23.375,,23.85505560636096
4.5,,-0.5,,23.625,,23.625921557151983
4.5,,-0.5,,23.875,,23.246203023648746
,,,,,,22.583663077247692
,,,,,,22.035853801476627
,,,,,,21.499259248210812
,,,,,,20.874091285840322
,,,,,,20.210935635423198
,,,,,,19.286790612712196
,,,,,,18.4162147202093
,,,,,,17.430405558810854
,,,,,,16.344090254495853
,,,,,,15.058108205727727
,,,,,,13.781810125243776
,,,,,,12.247042349420155
,,,,,,10.990645298639485
,,,,,,10.036645484441015
,,,,,,9.090410694016274
,,,,,,8.14134052544941
,,,,,,7.441618391252918
,,,,,,6.6904369716475
,,,,,,6.387392974793935
,,,,,,6.256981692223601
,,,,,,6.170894986640462
,,,,,,6.15002328949618
,,,,,,6.293801166002496
,,,,,,6.424303258737309
,,,,,,6.577680815369457
,,,,,,6.66627777103919
,,,,,,6.839528750853421
,,,,,,6.869442724851588
,,,,,,6.689742905444646
,,,,,,6.534863119044626
,,,,,,6.295500697339767
,,,,,,6.08581595323966
