mlat_n,tec_n,tec_min_n,tec_max_n,tec_q25_n,tec_q75_n,tec_std_n,mlat_s,tec_s,tec_min_s,tec_max_s,tec_q25_s,tec_q75_s,tec_std_s,mlt,asy
12.5,63.302486998645456,35.9,94.2,53.6,74.1,12.675191029902516,-1.5,,4.1,68.6,50.4,58.05,12.675191029902516,13.125,
12.5,64.99250608158772,36.1,91.3,56.824999999999996,73.875,11.821987370063583,-0.5,,42.5,73.7,52.4,59.5,11.821987370063583,13.375,
12.5,66.65533340284348,37.3,93.5,58.9,75.6,11.432396093304966,-0.5,,42.5,71.5,51.475,59.525,11.432396093304966,13.625,
13.5,67.73376048649332,40.8,98.6,58.5,81.0,13.011447688503928,-0.5,,40.4,72.0,51.3,61.2,13.011447688503928,13.875,
13.5,68.75981646264333,38.6,97.0,58.4,82.1,14.13703322190125,-8.5,56.791509024443094,36.0,72.8,52.5,62.1,14.13703322190125,14.125,19.065202843169082
13.5,69.82825550060981,41.6,101.2,59.7,83.65,13.998833865368137,-8.5,57.36269403326979,35.3,74.1,53.650000000000006,63.0,13.998833865368137,14.375,19.601334077657146
13.5,70.18284993268698,39.1,103.6,60.824999999999996,82.975,14.289432942254317,-9.5,57.86039276127448,30.7,77.1,52.7,64.1,14.289432942254317,14.625,19.247336934233427
12.5,70.22865407469877,39.5,99.5,59.3,78.1,12.340052362437218,-9.5,58.18853627988704,29.9,77.7,52.6,64.7,12.340052362437218,14.875,18.751567078467502
12.5,69.67291597089755,42.6,94.6,60.5,77.7,11.43434012215453,-9.5,58.1453644064613,32.6,79.7,52.575,64.7,11.43434012215453,15.125,18.037406747146616
12.5,69.10759049914239,41.8,93.1,61.0,76.3,11.68054820679366,-9.5,57.70152839413543,32.9,80.2,52.4,63.7,11.68054820679366,15.375,17.98934052149084
12.5,68.54069856909263,41.9,93.2,60.6,77.95,11.762002395694914,-9.5,57.008979174894556,32.6,77.2,51.55,63.1,11.762002395694914,15.625,18.369970519100512
12.5,67.66890565197058,38.5,94.7,61.55,76.95,10.720456578167926,-9.5,56.32816093495887,34.4,77.8,50.7,62.2,10.720456578167926,15.875,18.291956461826707
12.5,66.2200430084686,39.3,91.2,59.25,74.5,11.102496917210294,-9.5,55.888702589583495,33.8,75.4,50.175000000000004,61.824999999999996,11.102496917210294,16.125,16.92154049783295
12.5,65.52380069785511,38.0,92.1,54.9,74.4,12.50976656828968,-9.5,55.34249239537951,32.2,75.1,49.4,61.849999999999994,12.50976656828968,16.375,16.847225213768866
12.5,64.95996448030417,38.9,97.3,53.8,75.0,12.906729209759092,-9.5,54.3964092175289,32.4,84.7,48.1,59.975,12.906729209759092,16.625,17.70086495676946
11.5,63.561489745830706,37.3,92.0,52.9,72.3,11.694784678564575,-9.5,53.51457648350106,32.6,80.4,47.150000000000006,59.9,11.694784678564575,16.875,17.163052340090555
11.5,61.81578984072958,41.6,84.8,54.3,68.1,9.657888250356617,-9.5,52.578816906343995,32.1,71.9,47.5,59.3,9.657888250356617,17.125,16.14931542150152
11.5,60.25498160555109,31.1,82.2,53.8,68.3,9.663808928780192,-10.5,51.93594114891903,28.5,85.4,45.8,58.7,9.663808928780192,17.375,14.830148914700137
12.5,58.519686939717296,35.4,84.9,49.025,67.1,11.119180820324738,-9.5,51.19040492962845,30.9,79.0,46.4,57.849999999999994,11.119180820324738,17.625,13.361181064030685
12.5,56.296126211376574,37.4,82.3,49.5,66.15,10.714225767430516,-9.5,49.71618132824874,31.7,81.5,44.4,54.675000000000004,10.714225767430516,17.875,12.413549022444178
12.5,53.966254878547865,27.2,83.2,45.9,64.3,11.329437626945287,-10.5,48.07994715826118,0.1,85.3,41.9,53.5,11.329437626945287,18.125,11.536554232882553
12.5,51.56625984095444,27.2,83.4,42.275,60.324999999999996,11.378585430663827,-10.5,46.06904248935646,0.1,78.1,40.775,52.625,11.378585430663827,18.375,11.260716606377246
12.5,48.87086644242983,28.3,79.2,41.4,56.9,10.673565266965399,-11.5,44.78171688463894,22.5,86.9,38.025,50.4,10.673565266965399,18.625,8.732593191818527
13.5,46.77219272940982,18.7,82.5,39.8,55.7,12.019397019799284,-12.5,44.23667700834615,23.3,96.1,36.8,49.6,12.019397019799284,18.875,5.572018921605799
13.5,46.102287062747514,18.8,81.1,39.4,55.8,12.38759777209666,-13.5,45.24233878007579,19.6,104.4,37.3,50.6,12.38759777209666,19.125,1.8828656305439064
13.5,46.158445286227526,17.9,75.3,39.5,54.650000000000006,11.668768914403985,-12.5,45.93711438083219,11.0,84.7,41.5,50.5,11.668768914403985,19.375,0.4806548897590301
13.5,46.19496120982187,15.9,73.6,39.075,54.1,11.083668971434433,-12.5,46.13217788467783,10.4,85.7,42.875,50.725,11.083668971434433,19.625,0.13600188581556413
13.5,46.249759146970405,15.7,71.2,38.3,53.175000000000004,11.064705746192944,-12.5,46.06745311881492,10.6,90.0,41.6,51.0,11.064705746192944,19.875,0.3949556614223148
